b'Today',b'Mostly Sunny',b'High: 60 \xc2\xb0F',"b'Today: Mostly sunny, with a high near 60. Calm wind becoming west southwest 5 to 8 mph in the afternoon.'"
b'Tonight',b'Slight ChanceShowers',b'Low: 48 \xc2\xb0F',"b'Tonight: A 20 percent chance of showers after 10pm.  Mostly cloudy, with a low around 48. Southwest wind 5 to 7 mph.  New precipitation amounts of less than a tenth of an inch possible.'"
b'Friday',b'ChanceShowers',b'High: 56 \xc2\xb0F',"b'Friday: A 50 percent chance of showers.  Partly sunny, with a high near 56. West wind around 10 mph.  New precipitation amounts between a tenth and quarter of an inch possible.'"
b'FridayNight',b'Slight ChanceShowers',b'Low: 43 \xc2\xb0F',"b'Friday Night: A 20 percent chance of showers.  Partly cloudy, with a low around 43. North wind around 6 mph.  New precipitation amounts of less than a tenth of an inch possible.'"
b'Saturday',b'Sunny',b'High: 58 \xc2\xb0F',"b'Saturday: Sunny, with a high near 58. North northeast wind around 7 mph becoming northwest in the afternoon.'"
b'SaturdayNight',b'Mostly Clear',b'Low: 44 \xc2\xb0F',"b'Saturday Night: Mostly clear, with a low around 44.'"
b'Sunday',b'ShowersLikely',b'High: 55 \xc2\xb0F',"b'Sunday: Showers likely after 10am.  Mostly cloudy, with a high near 55. Chance of precipitation is 70%.'"
b'SundayNight',b'ShowersLikely',b'Low: 44 \xc2\xb0F',"b'Sunday Night: Showers likely, mainly before 10pm.  Mostly cloudy, with a low around 44.'"
b'Monday',b'Slight ChanceShowers',b'High: 55 \xc2\xb0F',"b'Monday: A slight chance of showers.  Partly sunny, with a high near 55.'"
